Город,Unnamed: 1,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,Среднее,Рейтинг
PARIS,"Температура, среднее",17.4,17.2,17.0,Н/Д,Н/Д,17.2,8
,"Без осадков, часов",0.0,0.0,5.0,Н/Д,Н/Д,1.67,
LONDON,"Температура, среднее",17.3,16.2,14.7,Н/Д,Н/Д,16.07,10
,"Без осадков, часов",0.0,10.0,1.0,Н/Д,Н/Д,3.67,
BERLIN,"Температура, среднее",19.2,16.1,13.7,Н/Д,Н/Д,16.33,9
,"Без осадков, часов",0.0,0.0,0.0,Н/Д,Н/Д,0.0,
MOSCOW,"Температура, среднее",18.0,13.1,12.2,12.0,Н/Д,13.82,12
,"Без осадков, часов",0.0,0.0,0.0,0.0,Н/Д,0.0,
BEIJING,"Температура, среднее",32.1,32.8,33.8,28.17,Н/Д,31.72,3
,"Без осадков, часов",10.0,8.0,10.0,0.0,Н/Д,7.0,
KAZAN,"Температура, среднее",12.6,13.7,14.7,14.0,Н/Д,13.75,13
,"Без осадков, часов",0.0,0.0,0.0,0.0,Н/Д,0.0,
SPETERSBURG,"Температура, среднее",12.3,11.9,11.6,12.0,Н/Д,11.95,15
,"Без осадков, часов",0.0,0.0,0.0,0.0,Н/Д,0.0,
KALININGRAD,"Температура, среднее",15.5,12.9,11.6,Н/Д,Н/Д,13.33,14
,"Без осадков, часов",2.0,0.0,0.0,Н/Д,Н/Д,0.67,
VOLGOGRAD,"Температура, среднее",22.1,21.9,25.7,25.0,Н/Д,23.68,6
,"Без осадков, часов",0.0,0.0,4.0,0.0,Н/Д,1.0,
NOVOSIBIRSK,"Температура, среднее",24.9,22.3,23.1,22.2,Н/Д,23.13,7
,"Без осадков, часов",10.0,10.0,0.0,0.0,Н/Д,5.0,
ABUDHABI,"Температура, среднее",35.0,34.7,34.1,34.0,Н/Д,34.45,1
,"Без осадков, часов",10.0,10.0,10.0,2.0,Н/Д,8.0,
WARSZAWA,"Температура, среднее",19.7,14.0,12.9,Н/Д,Н/Д,15.53,11
,"Без осадков, часов",2.0,0.0,0.0,Н/Д,Н/Д,0.67,
ROMA,"Температура, среднее",29.2,29.5,25.8,Н/Д,Н/Д,28.17,4
,"Без осадков, часов",6.0,0.0,0.0,Н/Д,Н/Д,2.0,
CAIRO,"Температура, среднее",32.6,33.2,34.5,Н/Д,Н/Д,33.43,2
,"Без осадков, часов",10.0,10.0,10.0,Н/Д,Н/Д,10.0,
BUCHAREST,"Температура, среднее",27.5,26.0,27.9,18.0,Н/Д,24.85,5
,"Без осадков, часов",0.0,10.0,2.0,0.0,Н/Д,3.0,
